Product,Month ID (YYYYMM),Defects,Opportunities,Defect Rates,Mean Rate,2 Sigma Limit,3 Sigma Limit
Product A,201607,37,222,166666.6667,81319.08913,188681.9093,242363.3194
Product A,201608,26,36,722222.2222,81319.08913,188681.9093,242363.3194
Product A,201609,66,375,176000,81319.08913,188681.9093,242363.3194
Product A,201610,61,494,123481.7814,81319.08913,188681.9093,242363.3194
Product A,201611,64,980.3333333,65283.91704,81319.08913,188681.9093,242363.3194
Product A,201612,104,1297.666667,80143.84793,81319.08913,188681.9093,242363.3194
Product A,201701,86,2292,37521.81501,81319.08913,188681.9093,242363.3194
Product A,201702,98,2444.666667,40087.26479,81319.08913,188681.9093,242363.3194
Product A,201703,130,2460.333333,52838.36878,81319.08913,188681.9093,242363.3194
Product A,201704,107,1888.666667,56653.72397,81319.08913,188681.9093,242363.3194
Product A,201705,135,1939.666667,69599.58756,81319.08913,188681.9093,242363.3194
Product A,201706,158,2173,72710.53843,81319.08913,188681.9093,242363.3194
Product A,201707,116,2268,51146.38448,81319.08913,188681.9093,242363.3194
Product A,201708,226,2188,103290.6764,81319.08913,188681.9093,242363.3194
Product A,201709,171,2299.333333,74369.38243,81319.08913,188681.9093,242363.3194
Product A,201710,124,2199,56389.26785,81319.08913,188681.9093,242363.3194
Product A,201711,119,2543,46795.12387,81319.08913,188681.9093,242363.3194
Product A,201712,146,2779.666667,52524.28349,81319.08913,188681.9093,242363.3194
Product A,201801,134,2133,62822.31599,81319.08913,188681.9093,242363.3194
Product A,201802,152,2167.333333,70132.26699,81319.08913,188681.9093,242363.3194
Product A,201803,170,2143.666667,79303.37428,81319.08913,188681.9093,242363.3194
Product A,201804,126,2841.333333,44345.37776,81319.08913,188681.9093,242363.3194
Product A,201805,134,3515.666667,38115.10382,81319.08913,188681.9093,242363.3194
Product A,201806,243,3214.666667,75591.04106,81319.08913,188681.9093,242363.3194
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
